kind,source_branch,curve_samples,mapping_time_days,mode_amplitude_nd,unstable_ring_radius,unstable_ring_relative_span,stability_index,curve_residual_norm,determinant_error,max_multiplier,min_multiplier,acceptance
periodic_halo_anchor,targeted_periodic_boundary,1,12.02246630939135,0.0,1237.6423064249611,0.0,618.8215572064273,1.4840927740614145e-12,5.53406209746754e-11,1237.6423064249611,0.0008079878934599295,pass
quasi_halo,N9_pseudo_arclength,9,12.022482053331235,0.00024999999999999984,1237.6539514685655,3.0182837025775404e-07,618.8273797244283,1.3399983625978373e-12,1.09395248415467e-09,1237.654325027639,0.0008079800473952542,pass
quasi_halo,N9_pseudo_arclength,9,12.02278382867733,0.0011277751544559894,1237.8771804623254,6.103069529253162e-06,618.9389941484559,4.4692548274778114e-10,8.128786532779486e-11,1237.884735312825,0.0008078296560679418,pass
quasi_halo,N9_pseudo_arclength,9,12.02327411226338,0.0017947546397862912,1238.2399182106074,1.5541336311426034e-05,619.1203629042708,1.1792419345070007e-12,4.218314586523775e-10,1238.2591621136035,0.0008075853833533351,pass
quasi_halo,N9_pseudo_arclength,9,12.024981941598876,0.0031650625801023535,1239.5041016205048,4.851691129193811e-05,619.7524541973806,9.19911886417708e-12,3.971294404436776e-10,1239.564238530816,0.000806735116190763,pass
quasi_halo,N9_pseudo_arclength,9,12.03120612126176,0.005905456122289957,1244.1198117573783,0.00016829160938899005,622.0603077692429,1.8100788763527055e-10,2.305267088331675e-10,1244.329186669008,0.000803645860435701,pass
quasi_halo,N9_pseudo_arclength,9,12.051155603086093,0.010748262552062808,1259.0019597978642,0.0004872466154198248,629.5013770389016,9.957341400603138e-13,3.9881875579794723e-11,1259.6154031540386,0.0007938931180258021,pass
quasi_halo,N9_pseudo_arclength,9,12.097007458701942,0.017539034192507397,1293.7020122242484,0.0001091511007807846,646.8513925998898,9.322175255756186e-10,1.844409069917674e-09,1293.742214059012,0.0007729515117279054,pass
quasi_halo,N15_spectral_lift,15,12.17014878859061,0.025332424902527996,1350.3665009958454,0.017406634455786316,675.1836207677713,1.317407534478492e-12,1.7523680284625698e-09,1350.366516274745,0.0007405396889411377,pass
quasi_halo,N15_spectral_lift,15,12.259397267811618,0.03366673026111495,1421.1899229379205,0.0023414022753456627,710.5953132868221,1.5526911991134744e-12,1.2855565501013189e-09,1424.4955107909293,0.0007020029141469149,pass
quasi_halo,N21_fold_tail,21,12.334112948552175,0.0411648839449517,1481.0751283780855,0.15534095131314032,740.5379017816405,5.114531252922892e-11,1.600096943832341e-09,1583.0732896348572,0.0006316826939601668,fail
quasi_halo,N15_spectral_lift,15,12.339893949520135,0.04180283537881831,1485.7033116425637,0.020679776483448487,742.8519923622292,4.689656258383253e-10,3.5633807016210994e-10,1485.7051151593917,0.0006730810777374632,pass
quasi_halo,N21_fold_tail,21,12.356708362450792,0.043725748356521585,1499.150739528101,0.0018333497445478285,749.5757032862152,1.0741704462680013e-10,5.253690815720802e-10,1501.7864690601427,0.0006658736248238259,pass
quasi_halo,N21_fold_tail,21,12.377960033158443,0.046311317753811754,1516.1173158494355,0.0031780775058718263,758.0589877145004,5.656738548118082e-12,1.0062697342050342e-09,1519.9867209093893,0.0006579004845391176,pass
quasi_halo,N21_fold_tail,21,12.397983401715157,0.048919932316947246,1532.0848631190674,0.01223019292197617,766.042757912213,7.489819561961898e-11,3.666483117115149e-09,1532.0849895386734,0.0006527053048461718,pass
quasi_halo,N21_fold_tail,21,12.4123058292366,0.05088919851053174,1543.5105707455111,0.0323353451924028,771.7556093096365,1.778583177482294e-10,1.8428769621436913e-09,1543.5112774619156,0.0006478734653809467,pass
quasi_halo,N21_fold_tail,21,12.423400541734425,0.05247035704611661,1552.374466197686,0.05224744708288663,776.1875551860783,1.5581918681551617e-10,2.103125673613704e-09,1552.377099984346,0.000644173377769939,pass
quasi_halo,N21_fold_tail,21,12.424592440002861,0.0526429118637727,1553.3277643043914,0.05454709979837717,776.6642040417618,2.996164864063059e-10,1.1376783959349268e-09,1553.3307271587767,0.0006437779043097777,pass
