kind,sample,phase_deg,periapsis_radius_km,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_distance_km,jacobi
phase_scan,0,0,27968.92428065079,,,,,,,,,
phase_scan,1,10,50.00000021525235,,,,,,,,,
phase_scan,2,20,23069.08257970378,,,,,,,,,
phase_scan,3,30,66495.53152441015,,,,,,,,,
phase_scan,4,40,112605.4267100849,,,,,,,,,
phase_scan,5,50,157554.1230744277,,,,,,,,,
phase_scan,6,60,199678.3418408255,,,,,,,,,
phase_scan,7,70,235649.1236986199,,,,,,,,,
phase_scan,8,80,259417.4154607154,,,,,,,,,
phase_scan,9,90,263148.6204253664,,,,,,,,,
phase_scan,10,100,240878.9099331781,,,,,,,,,
phase_scan,11,110,193104.3036794481,,,,,,,,,
phase_scan,12,120,128154.5539578838,,,,,,,,,
phase_scan,13,130,60363.32588565269,,,,,,,,,
phase_scan,14,140,9823.501076750901,,,,,,,,,
phase_scan,15,150,8326.554091806993,,,,,,,,,
phase_scan,16,160,121047.9859219615,,,,,,,,,
phase_scan,17,170,506312.6721571067,,,,,,,,,
phase_scan,18,180,503279.785135812,,,,,,,,,
phase_scan,19,190,488766.1165613887,,,,,,,,,
phase_scan,20,200,473798.1817298289,,,,,,,,,
phase_scan,21,210,458097.6913114599,,,,,,,,,
phase_scan,22,220,441199.6203117964,,,,,,,,,
phase_scan,23,230,422653.6291685563,,,,,,,,,
phase_scan,24,240,402106.9584170366,,,,,,,,,
phase_scan,25,250,379312.0315817855,,,,,,,,,
phase_scan,26,260,354113.5726847479,,,,,,,,,
phase_scan,27,270,326442.0511206741,,,,,,,,,
phase_scan,28,280,296326.1103458281,,,,,,,,,
phase_scan,29,290,263936.490046143,,,,,,,,,
phase_scan,30,300,229676.0933856304,,,,,,,,,
phase_scan,31,310,194320.526760425,,,,,,,,,
phase_scan,32,320,159164.4616592253,,,,,,,,,
phase_scan,33,330,125989.1657912338,,,,,,,,,
phase_scan,34,340,96295.62927172885,,,,,,,,,
phase_scan,35,350,67896.91407718895,,,,,,,,,
targeted_trajectory,0,14.88928708770439,6563.000041081413,0,0.9999941309592085,4.377725787341964e-05,-5.080514707827476e-25,0.3687459001133248,0.02414046949085256,1.840484348581995e-19,6562.999643455215,3.000356027155011
targeted_trajectory,1,14.88928708770439,6563.000041081413,1.135474224843056,1.000569873737124,-0.001541546881904831,2.679215224704459e-22,0.00879561234825529,-0.05664140045975783,4.506787573015745e-21,246021.6519831967,3.000356027154448
targeted_trajectory,2,14.88928708770439,6563.000041081413,2.270948449686061,1.00067415598052,-0.002506855628626154,3.330970755695805e-22,0.002778889008290483,-0.04403341795418048,2.539066530118101e-21,388461.3443369073,3.000356027154449
targeted_trajectory,3,14.88928708770439,6563.000041081413,3.406422674529066,1.000695791980814,-0.003299078937267256,3.739932596050328e-22,-0.0003270593002561886,-0.03761155761991528,1.736530257738325e-21,504485.1213242045,3.000356027154452
