system,point,mapping_time_days,y_amplitude_km,z_amplitude_km,y_amplitude_nd,z_amplitude_nd
earth_moon,L1,12.04,32200,26000,0.08376690946930281,0.06763787721123829
earth_moon,L1,12.06933333333333,34536.70044557883,28384.38820977431,0.08984573476997613,0.07384076017110904
earth_moon,L1,12.09866666666667,36326.44553511695,30210.65870930301,0.09450167933172983,0.07859172400963321
earth_moon,L1,12.128,37697.26201764317,31609.4510384114,0.09806779921343176,0.08223062184810456
earth_moon,L1,12.15733333333333,38747.20920830729,32680.82572276254,0.1007991914888327,0.08501775682300347
earth_moon,L1,12.18666666666667,39551.39351542334,33501.42195451361,0.1028912422357527,0.08715250248312595
earth_moon,L1,12.216,40167.34106551167,34129.93986276701,0.1044936031881157,0.08878756467941469
earth_moon,L1,12.24533333333333,40639.11274907059,34611.33953986795,0.1057208968498194,0.09003990515054097
earth_moon,L1,12.27466666666667,41000.45605074638,34980.05719463916,0.1066609158448137,0.09099910820665753
earth_moon,L1,12.304,41277.2191253781,35262.46849528377,0.1073809030316808,0.09173378900958316
earth_moon,L1,12.33333333333333,41489.19980725147,35478.77531352191,0.1079323616213618,0.09229650185619644
earth_moon,L1,12.36266666666667,41651.56181868414,35644.45083539198,0.108354739382633,0.09272749957177935
earth_moon,L1,12.392,41775.91948431431,35771.34641256562,0.1086782504794857,0.09305761293591472
earth_moon,L1,12.42133333333333,41871.16854451333,35868.53933113605,0.1089260367963406,0.09331045611637889
earth_moon,L1,12.45066666666667,41944.12249892236,35942.98214175751,0.1091158233582788,0.09350411587345865
earth_moon,L1,12.48,42000,36000,0.109261186264308,0.09365244536940687
