branch,time_index,curve_index,elapsed_nd,elapsed_days,x,y,z,xdot,ydot,zdot,base_x,base_y,base_z,state_separation_nd,jacobi,eigenvalue_real,perturbation_sign,perturbation_scale,mapping_time_days,mode_amplitude_nd
plus_x,0,0,0,0,0.8733641906460692,0.004654439129670652,0.06920073592717453,0.002646950442923956,-0.1723204430944809,0.007157509386769668,0.8733514337261967,0.004665151736032673,0.0692035226122579,4.999999999999296e-05,3.138900013745918,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,1,0,0,0.8737110974980253,-0.01084908979306831,0.06533797888363294,0.002796088619140599,-0.1799074793804434,0.02035439101510783,0.8736980459399457,-0.01083899500786238,0.0653404170208942,4.999999999999681e-05,3.138899970602287,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,2,0,0,0.874552887947792,-0.01896389183272537,0.05494361497849775,0.003954845930665462,-0.1992617395912774,0.02813302910578609,0.8745400452019023,-0.01895408401590144,0.05494547636693526,4.999999999999001e-05,3.138900047494869,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,3,0,0,0.8752420519034916,-0.01621304477524994,0.04333944311662718,0.004725354402551686,-0.2229033332783177,0.02646452583841991,0.8752298993433759,-0.01620306378420576,0.04334082468683936,5.000000000000014e-05,3.138899926957475,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,4,0,0,0.8755491552913846,-0.004460186206842163,0.03580013572163998,0.002623021009042676,-0.239375302314828,0.01503071553269759,0.8755378429543975,-0.004449705729319258,0.03580140186463369,5.000000000000077e-05,3.138900082348026,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,5,0,0,0.8756331833314891,0.01085469051720097,0.03542944088466281,-0.001079495216712657,-0.2389082916504313,-0.0007579000201759606,0.8756223891884739,0.0108657628067022,0.0354309714330233,5.000000000001053e-05,3.138899927863215,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,6,0,0,0.8754476265360647,0.02308636596036962,0.04233342091580988,-0.002220351462039001,-0.2217863130276865,-0.01230721120835519,0.8754367663887684,0.02309789313015233,0.04233542333938362,5.000000000000847e-05,3.138900044248943,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,7,0,0,0.8747776910004073,0.0267629950758952,0.05366933999899278,-0.0001444339337120473,-0.1980402976454877,-0.01403705499277785,0.8747662844241139,0.02677463578178674,0.05367181360938161,4.999999999998835e-05,3.138899981851692,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,0,8,0,0,0.8738548093261245,0.01968355174066794,0.06442125636092116,0.002082410583557884,-0.1790970615281756,-0.006142972963267376,0.8738426761116848,0.01969488094328614,0.06442403393576397,4.999999999999743e-05,3.138899998340374,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,1,0,0.02519847183461132,0.1094117647058823,0.8733865860683488,0.0003057147305608811,0.06923866298433402,-0.0008685843304529721,-0.1727078004685555,-0.004150906921013622,0.8733729185473663,0.0003170453418808297,0.06924198383530239,5.321898084521908e-05,3.138900013745918,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
plus_x,1,1,0.02519847183461132,0.1094117647058823,0.8737395112453641,-0.01536130497923551,0.06571214645153214,-0.0005588864713193167,-0.1780951173176845,0.009352878852027891,0.8737254808885863,-0.01535068808321556,0.06571509946680233,5.304493175684829e-05,3.138899970602287,1293.702012224248,-1,5e-05,12.09700745870194,0.0175390341925074
