branch,time_index,curve_index,time_nd,time_days,base_x,base_y,base_z,manifold_x,manifold_y,manifold_z,state_separation_norm,position_separation_norm,eigenvalue_real,eigenvalue_imag,eigenvalue_abs,perturbation_scale,mean_state_growth,expected_growth,mapping_time_days,base_family,base_orbit_amplitude_nd,mode_amplitude_nd
unstable,0,0,0,0,0.8379215965853849,6.604302379347148e-08,-3.43298350410763e-09,0.8379216257313301,5.23032618115991e-08,-3.433993221943421e-09,9.999999999767185e-08,3.222215360104146e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,1,0,0,0.8379215966280579,6.60431777567364e-08,6.402042322477913e-06,0.8379216257740031,5.230341574600677e-08,6.402041127586738e-06,9.999999999202715e-08,3.222215361968109e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,2,0,0,0.8379215966857136,6.604354382334884e-08,9.81193082160993e-06,0.8379216258316589,5.230378180651666e-08,9.811930000648284e-06,9.99999999855757e-08,3.222215361058655e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,3,0,0,0.8379215966630988,6.604349923217699e-08,8.630707821141652e-06,0.8379216258090441,5.230373724209308e-08,8.630707758246607e-06,9.99999999884594e-08,3.222215358878397e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,4,0,0,0.8379215965975657,6.604309866130012e-08,3.411080785619926e-06,0.8379216257435109,5.230333668654084e-08,3.411081510220771e-06,9.999999999639411e-08,3.222215359033534e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,5,0,0,0.8379215965974302,6.604305622869193e-08,-3.404628912821576e-06,0.8379216257433754,5.230329423262083e-08,-3.404627739773621e-06,9.999999999559026e-08,3.222215361262798e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,6,0,0,0.8379215966629233,6.604336231725846e-08,-8.627274925419702e-06,0.8379216258088685,5.230360029839185e-08,-8.627273852806821e-06,9.999999998777273e-08,3.222215361884833e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,7,0,0,0.8379215966857828,6.604361044912173e-08,-9.813123044847141e-06,0.837921625831728,5.230384844362758e-08,-9.81312257455682e-06,9.999999998594962e-08,3.222215359872562e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,0,8,0,0,0.8379215966282626,6.604328567528318e-08,-6.407301884257397e-06,0.8379216257742078,5.23035236973223e-08,-6.407302236343698e-06,9.999999999268014e-08,3.222215358547683e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
unstable,1,0,0.1170341355548276,0.5081622165790614,0.8378855469275713,-0.0009666756470319541,-2.634856289973658e-06,0.8378855880764339,-0.0009666949233981732,-2.634857422784789e-06,1.409535565598854e-07,4.544014947374322e-08,2674.04844186227,0,2674.04844186227,1e-07,2674.881203812836,2674.04844186227,11.68773098131841,planar_lyapunov,0.001,1e-05
