vertical_rms_amplitude_nd,accepted,combined_newton_metric,curve_residual_norm,amplitude_residual,phase_residual,rotation_angle_rad,strobe_max_abs_y_km,strobe_max_abs_z_km
1e-05,true,1.5929412305894044e-12,1.5929412305894044e-12,7.436949276892757e-19,3.759277390112088e-22,0.053984565200761905,83.919874130785,1495.9854420438965
2e-05,true,6.32011589564158e-11,6.32011589564158e-11,8.818968233632873e-17,4.518474096070914e-21,0.053986927985971614,337.53058925306874,2992.0112039405817
4e-05,true,1.0651226420608977e-12,1.0651226420608977e-12,1.2197274440461925e-19,1.7630527575955232e-20,0.05399638057405989,1385.23571969404,5984.342037124567
8e-05,true,1.2202521430174817e-12,1.2202521430174817e-12,1.260385025514399e-18,1.4902485915755347e-20,0.05403422871224879,6161.550433973425,11971.117836969654
9.6e-05,true,1.4990228048825586e-12,1.4990228048825586e-12,0.0,1.2205215374342434e-19,0.054056462676894006,8737.484350158169,14366.966601682832
0.0001152,true,1.2509502146613696e-12,1.2509502146613696e-12,2.778268066994105e-18,-1.0595852774559263e-19,0.054088522618498294,12596.107745312256,17243.001271042198
0.00013824,true,3.2249722816423102e-12,3.2249722816423102e-12,4.697305912293448e-17,1.0746730518288936e-20,0.054134790383936864,18495.834952220535,20695.683402906896
0.000165888,true,1.5156913714994106e-12,1.5156913714994106e-12,0.0,-1.317136232980437e-19,0.05420167565215356,27901.756883221547,24840.331036894007
0.0001990656,true,9.91619059027898e-13,9.91619059027898e-13,2.710505431213761e-20,6.03510974918689e-21,0.05429880100425271,44741.13168420235,29811.50872103426
0.00021897216,true,9.724782382740535e-13,9.724782382740535e-13,-2.710505431213761e-20,-1.4071334836262064e-19,0.05436599703580091,53343.087857247396,32795.032410317835
0.000244153958,true,5.603466276237989e-12,5.603466276237989e-12,4.0657581468206416e-17,-6.144165241145881e-19,0.0544612440117063,67521.60202284183,36563.24815508741
0.000276443319,true,1.3659915025757168e-12,1.3659915025757168e-12,1.0842021724855044e-19,8.258571235729428e-20,0.054604529791245034,104144.46484416399,41338.11410236403
0.000297465106,true,1.16041853870721e-12,1.16041853870721e-12,4.336808689942018e-18,2.022291161569642e-20,0.05470748914292073,116798.16991400828,44462.92324876619
0.000323478523,true,8.09419906233224e-13,8.09419906233224e-13,1.0842021724855044e-19,1.3319593095573873e-19,0.05485147694862323,140576.76956800642,48286.296856792345
0.000339744294,true,1.6501967213348361e-12,1.6501967213348361e-12,0.0,-7.706941028830065e-19,0.05494737877453045,150105.55415690184,50692.430002719295
0.000359390524,true,1.5424134150207374e-12,1.5424134150207374e-12,2.5587171270657905e-17,-7.187074557452738e-19,0.05507293851190737,163769.26405950508,53581.966192103566
0.000383290172,true,9.320695294220436e-12,9.320695294220436e-12,3.208262648601856e-15,-1.7957098481791167e-19,0.05524537156597734,186940.32188715547,57178.71456201699
0.00039794634,true,1.3547690491210523e-12,1.3547690491210523e-12,5.421010862427522e-20,1.1741994231312738e-19,0.055355152667276745,196112.9340188343,59450.79019036209
0.000415445415,true,1.1513198781431467e-12,1.1513198781431467e-12,4.87890977618477e-18,1.1648820607114765e-18,0.05549639700932274,208706.45353090318,62179.791595257404
0.00043645427,true,1.0528540753870527e-12,1.0528540753870527e-12,8.673617379884035e-19,-5.304543832180056e-19,0.05568591419318486,228036.77555389024,65488.44167571815
0.000461836221,true,1.4450894067811226e-12,1.4450894067811226e-12,3.01950305037213e-17,-6.606856988583543e-20,0.05603578642765946,291385.3663103956,69671.92683361523
0.000477279591,true,9.25715068636521e-13,9.25715068636521e-13,0.0,-1.043544591017298e-18,0.056208542387160346,301441.6985000034,72087.6548052392
0.000495633341,true,1.4394258219757553e-12,1.4394258219757553e-12,8.51098705401121e-17,-1.5839516113655416e-19,0.05643651842317631,315637.2273374504,74973.40181222523
0.000517551814,true,8.010711608612272e-12,8.010711608612272e-12,3.09279511723215e-15,-1.8033331447044054e-18,0.05676520498323871,339273.2937476381,78450.70064830041
0.000530712286,true,9.351753987722281e-13,9.351753987722281e-13,0.0,-9.823464605781748e-19,0.05695433368793415,347751.9810865864,80525.47151037364
0.000546231675,true,8.885328568727906e-12,8.885328568727906e-12,1.474514954580286e-16,3.0387306982748025e-19,0.057199116642028855,359096.1690257773,82982.27560240612
0.000564600872,true,3.193264460720928e-11,3.193264460720928e-11,2.2131818946946602e-15,1.4162390878091902e-18,0.057534696026017185,375699.6053315419,85908.71776405473
0.000586435847,true,6.994653066785032e-13,6.994653066785032e-13,1.0842021724855044e-19,8.783731663027095e-19,0.05811350506084451,409798.14934932813,89444.55382745322
0.000599476505,true,9.010391884820283e-13,9.010391884820283e-13,-1.0842021724855044e-19,-1.3406413972667439e-18,0.058398546620769286,418974.77743136376,91532.4589010666
0.000614806747,true,4.518708137536383e-11,4.518708137536383e-11,2.946861504815601e-16,-1.1218951386383208e-18,0.05878124681572551,431579.3541505733,94001.8193830172
0.000632887366,true,1.8011159759306454e-12,1.8011159759306454e-12,0.0,-2.8417955380381776e-18,0.05938793372967897,453607.43704031,96955.41514478382
0.000654291563,true,1.3177036629052105e-12,1.3177036629052105e-12,0.0,1.421321285492716e-18,0.0606934659857467,499317.559757659,100583.30687800882
0.000679738861,true,4.3341323505130886e-11,4.3341323505130886e-11,2.622685055242435e-16,1.666960840196463e-18,0.062174485984078896,530096.7689439915,104870.03352890191
0.000694940146,true,2.4098144016530287e-12,2.4098144016530287e-12,3.6591823321385775e-16,5.717472393966527e-19,0.06313649580566524,544956.4584374592,107441.2581716257
