palc_member,step_size,vertical_rms_amplitude_nd,rotation_angle_rad,curve_residual_norm,phase_residual,arclength_residual,iterations,strobe_max_abs_y_km,strobe_max_abs_z_km
1,0.00047244720387282327,0.0008693158594434044,0.08550147794799556,4.359629193926449e-09,1.9916861671194497e-15,2.1711148504022226e-17,3,672422.6480312549,134498.68250427168
2,0.00012992,0.0008906865794824872,0.08563544937964625,5.370913245226472e-09,3.1409343289652168e-15,-1.4663834382866447e-17,5,670377.8149845934,138251.19771778688
3,0.00014292,0.0008959933393291907,0.08552845828868914,8.981140425396656e-09,1.5170044565551667e-15,6.795237116052899e-17,5,669340.7705681369,139229.49366523317
4,3.9302e-05,0.0008970400124857446,0.08550945648904174,2.714170017417222e-10,2.693783147950389e-15,-4.1415675955999015e-17,2,669141.0193379956,139421.12061338103
