member_index,eigen_index,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,stability_index,determinant,curve_residual_norm,real_unstable_index,real_stable_index
0,0,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-1028.973401197615,687.751385231198,1237.654325027639,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,1,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-1028.973401197615,-687.751385231198,1237.654325027639,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,2,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-416.827677986299,1165.350586927352,1237.65395146922,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,3,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-416.827677986299,-1165.350586927352,1237.65395146922,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,4,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,1237.653951468566,0,1237.653951468566,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,5,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,994.119416044186,-737.233945386212,1237.653951468565,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,6,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,994.119416044186,737.233945386212,1237.653951468565,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,7,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,359.3569289691789,1184.335214872711,1237.653951468564,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,8,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,359.3569289691789,-1184.335214872711,1237.653951468564,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,9,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-0.831356020707945,-0.5558229022940051,1.000045964884555,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,10,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-0.831356020707945,0.5558229022940051,1.000045964884555,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,11,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-0.336788592238461,0.9415818561737698,1.000001473867717,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,12,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-0.336788592238461,-0.9415818561737698,1.000001473867717,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,13,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-0.3367894063322027,0.9415814782873064,1.000001392234684,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,14,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,-0.3367894063322027,-0.9415814782873064,1.000001392234684,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,15,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,0.8032290393514415,0.5956703063241963,1.000000001746901,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,16,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,0.8032290393514415,-0.5956703063241963,1.000000001746901,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,17,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,0.2903533242640788,-0.9569195098511432,1.000000000622477,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,18,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,0.2903533242640788,0.9569195098511432,1.000000000622477,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,19,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,0.8032288914492396,0.5956705030726935,1.000000000144825,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,20,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,0.8032288914492396,-0.5956705030726935,1.000000000144825,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
0,21,0.00025,2.768881173038055,12.02248205333123,0.6381001436786238,0.2903530863014253,-0.9569195815301336,1.000000000120284,618.8275665038432,1.000000001093952,1.339998362597837e-12,4,47
