target_id,original_asset,original_dimensions,original_hash_ok,caption_status,crop_status,reproduction_asset,reproduction_dimensions,reproduction_hash_ok,reexported_in_report_build,issues,mapping_status
3.17,reports/mccarthy2018_figure_comparison/assets/original/fig_3_17_original.png,1830x855,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_3_17_reproduced.png,2403x1053,True,False,,pass
4.1,reports/mccarthy2018_figure_comparison/assets/original/fig_4_1_original.png,1866x795,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_1_reproduced.png,2364x1218,True,False,,pass
4.2,reports/mccarthy2018_figure_comparison/assets/original/fig_4_2_original.png,1899x900,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_2_reproduced.png,2223x1083,True,False,,pass
4.3,reports/mccarthy2018_figure_comparison/assets/original/fig_4_3_original.png,1806x1571,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_3_reproduced.png,2552x2366,True,False,,pass
4.4,reports/mccarthy2018_figure_comparison/assets/original/fig_4_4_original.png,1879x1420,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_4_reproduced.png,2545x2150,True,False,,pass
4.5,reports/mccarthy2018_figure_comparison/assets/original/fig_4_5_original.png,1869x1541,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_5_reproduced.png,2551x2321,True,False,,pass
4.6,reports/mccarthy2018_figure_comparison/assets/original/fig_4_6_original.png,1876x1299,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_6_reproduced.png,2449x1976,True,False,,pass
4.7,reports/mccarthy2018_figure_comparison/assets/original/fig_4_7_original.png,1899x1110,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_7_reproduced.png,1529x1383,True,False,,pass
4.8,reports/mccarthy2018_figure_comparison/assets/original/fig_4_8_original.png,1899x868,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_4_8_reproduced.png,1520x1383,True,False,,pass
5.1,reports/mccarthy2018_figure_comparison/assets/original/fig_5_1_original.png,1519x1420,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_1_reproduced.png,2304x2222,True,False,,pass
5.2,reports/mccarthy2018_figure_comparison/assets/original/fig_5_2_original.png,1899x594,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_2_reproduced.png,2703x925,True,False,,pass
5.3,reports/mccarthy2018_figure_comparison/assets/original/fig_5_3_original.png,1899x527,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_3_reproduced.png,2703x765,True,False,,pass
5.4,reports/mccarthy2018_figure_comparison/assets/original/fig_5_4_original.png,1263x887,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_4_reproduced.png,1919x1713,True,False,,pass
5.5,reports/mccarthy2018_figure_comparison/assets/original/fig_5_5_original.png,1263x845,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_5_reproduced.png,1642x1563,True,False,,pass
5.6,reports/mccarthy2018_figure_comparison/assets/original/fig_5_6_original.png,1755x1450,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_6_reproduced.png,2425x2222,True,False,,pass
5.7,reports/mccarthy2018_figure_comparison/assets/original/fig_5_7_original.png,1755x1451,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_7_reproduced.png,2425x2222,True,False,,pass
5.8,reports/mccarthy2018_figure_comparison/assets/original/fig_5_8_original.png,1798x794,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_8_reproduced.png,2690x1383,True,False,,pass
5.9,reports/mccarthy2018_figure_comparison/assets/original/fig_5_9_original.png,991x1050,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_9_reproduced.png,1398x1453,True,False,,pass
5.10,reports/mccarthy2018_figure_comparison/assets/original/fig_5_10_original.png,1780x991,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_10_reproduced.png,2404x1353,True,False,,pass
5.11,reports/mccarthy2018_figure_comparison/assets/original/fig_5_11_original.png,1898x991,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_11_reproduced.png,2404x1353,True,False,,pass
5.12,reports/mccarthy2018_figure_comparison/assets/original/fig_5_12_original.png,1263x681,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_12_reproduced.png,2012x1083,True,False,,pass
5.13,reports/mccarthy2018_figure_comparison/assets/original/fig_5_13_original.png,1445x1046,True,pdf_caption_block,embedded_band_exact,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_13_reproduced.png,1890x1563,True,False,,pass
5.14,reports/mccarthy2018_figure_comparison/assets/original/fig_5_14_original.png,1235x2025,True,pdf_caption_block,embedded_band_union,reports/mccarthy2018_figure_comparison/assets/reproduced/fig_5_14_reproduced.png,1803x2582,True,False,,pass
