case_id,method,bundle_dimension,max_invariance_residual,phase_principal_angle_max_deg,runtime_seconds,research_status
em_halo_12p40_n45,Pointwise eig,1,0.1240301871126478,4.140684834882864,0.04284379999990051,fail
em_halo_12p40_n45,Partial real-Schur,1,5.998696454080925e-11,4.130216588299794,0.1056647999994311,accepted
em_halo_12p40_n45,Shifted QR/SVD,1,4.402709619572765e-12,4.130216593588217,0.201437600000645,accepted
em_vertical_12p66_n57,Pointwise eig,1,0.1598143905376293,6.303409327688104,0.06088249999993423,fail
em_vertical_12p66_n57,Partial real-Schur,1,6.373404342531289e-08,6.31473011309239,0.1700209999999061,accepted
em_vertical_12p66_n57,Shifted QR/SVD,1,3.890772613996416e-09,6.314734608277504,0.2673764999999548,accepted
se_active_geometry_member_468,Pointwise eig,1,0.1433881491779949,7.691017021738507,0.01715689999946335,fail
se_active_geometry_member_468,Partial real-Schur,1,6.542693099748203e-07,7.697927351919113,0.0433379000005516,accepted
se_active_geometry_member_468,Shifted QR/SVD,1,9.471927263010407e-09,7.697860691647499,0.0804532999991352,accepted
