schema_version,run_id,case_id,initialization,resolution_id,resolution_kind,spectral_samples,iteration_cap,iterations_executed,bundle_dimension,converged,selection_residual_deg,max_invariance_residual,mean_invariance_residual,phase_principal_angle_max_deg,phase_principal_angle_mean_deg,sign_or_subspace_flips,tail_angle_mean_deg,tail_angle_std_deg,tail_relative_range,research_status,runtime_seconds,source_map_status,source_gate_status,cocycle_sha256,source_git_commit
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,local_svd,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,500,500,2,false,89.75699032554802,0.9562418059424604,0.3687681759266104,89.36872368616976,56.76393892474593,45928,89.38410844550125,0.6857180819355538,0.02900100860174321,fail,6.8813955999939935,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,local_svd,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,1000,1000,2,false,88.35372115005896,0.9314683251667055,0.3148067815307207,89.60328439525122,58.80361743404062,95722,89.37976507436774,0.7831914212250267,0.03631952253182308,fail,13.842740999993111,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,schur_seed,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,200,200,2,false,88.57852275885202,0.9514315479686477,0.32424407349266804,87.61779024338149,53.27671983500332,19144,89.15975578123599,0.5770785747313021,0.02467570211727858,fail,2.796340599998075,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,schur_seed,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,500,500,2,false,89.69955607720169,0.9728956159771786,0.3435579511774427,88.97768710968153,50.348365456262044,48880,89.23980920953515,0.6268101049774869,0.020957492521569684,fail,7.084039699999266,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,schur_seed,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,1000,1000,2,false,89.8332719317631,0.799750333882249,0.3275510904250656,88.11870386103294,55.146848869707505,99040,89.43692545770463,0.5112142806777974,0.02118679576553158,fail,14.24358619999839,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,deterministic_random,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,200,200,2,false,89.67942766577816,0.8171890533262667,0.3488788416128631,87.51562706378444,57.632635197828755,19950,89.38327500926306,0.6977758363802131,0.0313662332028496,fail,2.7404297000030056,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,deterministic_random,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,500,500,2,false,89.47807797626005,0.8780458724829552,0.3299368181802828,89.0942345522795,58.88575519811647,49867,89.17008752251685,0.8357683233546975,0.037042363771921105,fail,6.8627874000012525,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_17,deterministic_random,fourier_lift_n67,diagnostic_fourier_lift_of_frozen_cocycle,67,1000,1000,2,false,89.69235597437114,0.8855682455875918,0.32426530449450014,87.82427168426487,55.187528216754124,99796,89.54613073429508,0.6293272321739759,0.029129121469888768,fail,13.824410699999135,pass,frozen_legacy_dg_fail_physical_rho_retest,94C02C8D16B818F8D8C3D3A3013F6E3ED80FB3E003A2B6F6D55BE34544B5540E,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_32,local_svd,native_n45,frozen_native_cocycle,45,200,200,2,false,86.62443827359714,0.9298896769453022,0.33763336404074545,89.06284203497917,58.237400388729256,10963,88.6694068279644,0.9732005011507694,0.04200554502686596,fail,1.858303100001649,pass,frozen_legacy_dg_fail_physical_rho_retest,C586EB087CF38D043939BEB9D8E39D4D5ABF25B0917254BB5079FBA9AF0E31BF,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
qr_svd_failure_experiments_v1,20260716T070721Z,route_h_member_32,local_svd,native_n45,frozen_native_cocycle,45,500,500,2,false,89.20512704925264,0.9449876951971261,0.3325082488417995,86.33571048068536,53.281896687974736,31139,88.97339181771284,0.8679160611694912,0.03661965979619731,fail,4.6692619000023114,pass,frozen_legacy_dg_fail_physical_rho_retest,C586EB087CF38D043939BEB9D8E39D4D5ABF25B0917254BB5079FBA9AF0E31BF,3aae9580d762bf44a2d6b251b4e40e4e1c16e896
